bedrooms,rent,sqft,date,longitude,latitude
2.0,700.0,725.0,2014-05-12,-119.764692,36.814149
3.0,1500.0,1791.0,2014-05-12,-119.714391,36.826239
2.0,945.0,870.0,2014-05-12,-119.86187,36.812324
2.0,924.0,1161.0,2014-05-12,-119.8319,36.8303
2.0,924.0,1161.0,2014-05-12,-119.853662,36.80814
1.0,660.0,700.0,2014-05-12,-119.758943,36.760849
1.0,1278.0,989.0,2014-05-12,-119.762306,36.871381
2.0,,920.0,2014-05-12,-119.844005,36.793648
2.0,838.0,743.0,2014-05-12,-119.756578,36.866349
,560.0,480.0,2014-05-12,-120.959741,37.658046
,560.0,480.0,2014-05-12,-120.959859,37.658012
2.0,699.0,785.0,2014-05-12,-119.801,36.8411
2.0,1025.0,1288.0,2014-05-12,-119.700175,36.738648
1.0,695.0,,2014-05-12,-119.778225,36.739252
3.0,800.0,1067.0,2014-05-12,-119.851558,36.779092
4.0,1250.0,,2014-05-12,-120.069144,36.722742
2.0,745.0,998.0,2014-05-12,-119.851262,36.793622
1.0,691.0,,2014-05-12,-119.851262,36.793622
2.0,699.0,750.0,2014-05-12,-119.823598,36.790048
2.0,1310.0,1376.0,2014-05-12,-119.749174,36.841524
1.0,595.0,,2014-05-12,-119.815543,36.792498
2.0,695.0,800.0,2014-05-12,-119.758943,36.760849
3.0,1109.0,1270.0,2014-05-12,-119.853647,36.811817
1.0,,620.0,2014-05-12,-119.721774,36.757349
2.0,500.0,,2014-05-12,-119.19671,36.546159
1.0,691.0,,2014-05-12,-119.851262,36.793622
4.0,1350.0,2089.0,2014-05-12,-119.391805,36.559235
3.0,1300.0,,2014-05-12,-119.391646,36.559394
2.0,930.0,1038.0,2014-05-12,-119.796789,36.852806
2.0,690.0,750.0,2014-05-12,-119.8286,36.7863
2.0,640.0,1015.0,2014-05-12,-119.734726,36.738621
3.0,1109.0,1270.0,2014-05-12,-119.853647,36.811817
,,,2014-05-12,-119.719563,36.755906
2.0,765.0,880.0,2014-05-12,-119.762,36.8236
1.0,1060.0,884.0,2014-05-12,-119.749088,36.841438
2.0,,,2014-05-12,-119.7604,36.7949
2.0,735.0,896.0,2014-05-12,-119.723075,36.815549
1.0,699.0,634.0,2014-05-12,-119.853647,36.811817
2.0,725.0,828.0,2014-05-12,-120.3489,36.1624
4.0,1200.0,2100.0,2014-05-12,-119.8632,36.630682
2.0,929.0,1217.0,2014-05-12,-119.853662,36.80814
2.0,690.0,750.0,2014-05-12,-119.8286,36.7863
2.0,929.0,1217.0,2014-05-12,-119.853647,36.811817
3.0,1125.0,1480.0,2014-05-12,-119.7061,36.7528
2.0,1355.0,1495.0,2014-05-12,-119.749324,36.842434
1.0,1150.0,931.0,2014-05-12,-119.665446,36.837042
