bedrooms,rent,sqft,date,longitude,latitude
3.0,1730.0,1196.0,2014-05-11,-117.690296,34.099301000000004
4.0,1795.0,2600.0,2014-05-11,-117.147732,33.693031
2.0,1024.0,850.0,2014-05-11,-117.4867,33.9228
3.0,1345.0,,2014-05-11,-117.299885,34.41208
3.0,1945.0,1380.0,2014-05-11,-117.558474,34.077216
2.0,1225.0,975.0,2014-05-11,-117.335476,33.980638
2.0,1372.0,1109.0,2014-05-11,-117.264,33.6021
2.0,1200.0,934.0,2014-05-11,-117.497406,33.913306
2.0,1485.0,1085.0,2014-05-11,-117.237429,33.597238
1.0,1270.0,792.0,2014-05-11,-117.23736,33.597309
2.0,1530.0,1136.0,2014-05-11,-117.237463,33.597281
1.0,1318.0,839.0,2014-05-11,-117.237412,33.597295
1.0,999.0,704.0,2014-05-11,-117.630126,34.093871
1.0,1250.0,766.0,2014-05-11,-117.489561,33.94743
2.0,985.0,859.0,2014-05-11,-117.162743,34.070113
1.0,999.0,704.0,2014-05-11,-117.62878700000002,34.09391
1.0,745.0,,2014-05-11,-117.331292,34.513215
2.0,2224.0,1454.0,2014-05-11,-117.567705,34.109808
2.0,2380.0,1585.0,2014-05-11,-117.1824,33.4903
1.0,710.0,1331.0,2014-05-11,-117.315114,33.953457
2.0,1345.0,960.0,2014-05-11,-117.319706,33.95901
2.0,1405.0,1121.0,2014-05-11,-117.319706,33.95901
1.0,999.0,704.0,2014-05-11,-117.630126,34.093871
2.0,1250.0,1080.0,2014-05-11,-117.453454,33.974859
2.0,1982.0,1089.0,2014-05-11,-117.548288,34.113471999999994
1.0,999.0,704.0,2014-05-11,-117.630126,34.093871
1.0,860.0,,2014-05-11,-117.2874,34.0315
3.0,1765.0,1194.0,2014-05-11,-117.520253,33.894392
1.0,999.0,704.0,2014-05-11,-117.630126,34.093871
2.0,1470.0,960.0,2014-05-11,-117.610886,34.08031
2.0,1260.0,796.0,2014-05-11,-117.62878700000002,34.09391
3.0,975.0,1100.0,2014-05-11,-117.2944,34.5016
2.0,1659.0,1161.0,2014-05-11,-117.5182,34.1705
2.0,1060.0,,2014-05-11,-117.2874,34.0315
3.0,2029.0,1277.0,2014-05-11,-117.6187,34.0316
1.0,850.0,730.0,2014-05-11,-117.377978,33.968615
2.0,1175.0,802.0,2014-05-11,-117.62878700000002,34.09391
1.0,935.0,500.0,2014-05-11,-117.7708,34.1159
2.0,2150.0,1406.0,2014-05-11,-117.6404,33.954
1.0,1370.0,772.0,2014-05-11,-117.770685,34.115103000000005
3.0,1900.0,1816.0,2014-05-11,-117.303643,34.179282
2.0,1200.0,1000.0,2014-05-11,-116.976768,33.937194
1.0,1060.0,660.0,2014-05-11,-117.497406,33.913235
1.0,1025.0,675.0,2014-05-11,-117.3353,34.170836
,,,2014-05-11,-117.430758,34.103756
2.0,,870.0,2014-05-11,-117.735391,33.968513
2.0,,920.0,2014-05-11,-117.735391,33.968513
2.0,1170.0,978.0,2014-05-11,-117.6583,34.1144
2.0,1225.0,886.0,2014-05-11,-117.334978,33.979415
2.0,1815.0,1173.0,2014-05-11,-117.564783,34.108979999999995
2.0,1357.0,755.0,2014-05-11,-117.563775,34.118162
