"","group","year","var","estimate","MOE","growth_per_base2013","statsig_90per_value","statsig_90per","statsig_95per_value","statsig_95per"
"2855","Los Angeles County",2017,"hhs_125kplus_per",20.9708490961696,0.151565249963217,18.8620398672691,30.4147193096495,"significant",36.2388144966037,"significant"
"2856","Los Angeles County",2018,"hhs_125kplus_per",22.7625283981865,0.173842142423568,29.0172155422773,38.542205804977,"significant",45.9226281931641,"significant"
"2857","Los Angeles County",2013,"poverty_per",17.8389607295677,0.171316771946061,0,NA,NA,NA,NA
"2858","Los Angeles County",2014,"poverty_per",18.3908237949846,0.161826850946684,3.09358304994852,8.61369706682644,"significant",10.2631284200485,"significant"
"2859","Los Angeles County",2015,"poverty_per",18.2100018278128,0.147526387235259,2.07994795139652,4.26864693476589,"significant",5.08604741163595,"significant"
"2860","Los Angeles County",2016,"poverty_per",17.8081837768636,0.156723788433212,-0.172526601580894,-0.281497180818152,"nonsignificant",-0.335400896293968,"nonsignificant"
"2861","Los Angeles County",2017,"poverty_per",16.9605703315151,0.152214008494468,-4.92399984151898,-7.04940014842311,"nonsignificant",-8.39928528322753,"nonsignificant"
"2862","Los Angeles County",2018,"poverty_per",15.982992820824,0.153771754904924,-10.4040136467562,-13.2622784640104,"nonsignificant",-15.8018637017996,"nonsignificant"
"2863","Los Angeles County",2013,"ed_belowhs_per",23.3915182385254,0.126724756279837,0,NA,NA,NA,NA
"2864","Los Angeles County",2014,"ed_belowhs_per",23.1824013921857,0.134633590115876,-0.893985778124039,-4.16025354242854,"nonsignificant",-4.95689783778719,"nonsignificant"
"2865","Los Angeles County",2015,"ed_belowhs_per",22.7186302357341,0.119508988107343,-2.87663244399007,-10.0475395352555,"nonsignificant",-11.9715364675385,"nonsignificant"
"2866","Los Angeles County",2016,"ed_belowhs_per",22.2824701556701,0.13161655841865,-4.74124027156433,-12.8909208168588,"nonsignificant",-15.3593950158317,"nonsignificant"
"2867","Los Angeles County",2017,"ed_belowhs_per",21.8434658448119,0.118230195052573,-6.61800733893287,-16.4276091774287,"nonsignificant",-19.5733215731065,"nonsignificant"
"2868","Los Angeles County",2018,"ed_belowhs_per",21.3384025597003,0.129960867353746,-8.77718007822029,-18.6062247514437,"nonsignificant",-22.169118852784,"nonsignificant"
"2869","Los Angeles County",2013,"ed_aboveba_per",29.6786072049625,0.159969792046947,0,NA,NA,NA,NA
"2870","Los Angeles County",2014,"ed_aboveba_per",29.9075780001238,0.157334189339994,0.771501147543932,3.75366483567825,"significant",4.472451719106,"significant"
"2871","Los Angeles County",2015,"ed_aboveba_per",30.2702740075639,0.153309490428566,1.99358008452127,6.94541668873833,"significant",8.27539009722014,"significant"
"2872","Los Angeles County",2016,"ed_aboveba_per",30.7641045345265,0.147870824329827,3.65750765211955,10.5821264147556,"significant",12.6084910473684,"significant"
"2873","Los Angeles County",2017,"ed_aboveba_per",31.2312927760399,0.159634152878266,5.23166589440838,12.6359253947087,"significant",15.0555706830571,"significant"
"2874","Los Angeles County",2018,"ed_aboveba_per",31.8089912933904,0.160526318078866,7.17818081460285,15.4637703801691,"significant",18.4249178997759,"significant"
"2875","Los Angeles County",2013,"emp_16plus_per",57.4508635528971,0.120010016211722,0,NA,NA,NA,NA
"2876","Los Angeles County",2014,"emp_16plus_per",57.4789918090169,0.115074193772014,0.0489605453778422,0.622285306328989,"nonsignificant",0.74144632243454,"nonsignificant"
"2877","Los Angeles County",2015,"emp_16plus_per",57.9644042976138,0.0964317953190388,0.8938781994875,8.67606788889999,"significant",10.3374425910298,"significant"
"2878","Los Angeles County",2016,"emp_16plus_per",58.6022134929767,0.103608736098885,2.00406028539417,15.4219536132359,"significant",18.3750936668342,"significant"
"2879","Los Angeles County",2017,"emp_16plus_per",59.3134850628246,0.102537271764909,3.24211229342525,21.7022009847332,"significant",25.8579415988311,"significant"
"2880","Los Angeles County",2018,"emp_16plus_per",60.0069400990098,0.104001482933347,4.44915252450325,26.4775808501913,"significant",31.547755906611,"significant"
"2881","Los Angeles County",2013,"heating_elec_per",25.0302208747384,0.144050796214881,0,NA,NA,NA,NA
"2882","Los Angeles County",2014,"heating_elec_per",25.2491756854741,0.135735246787082,0.874761800271134,4.06913985649119,"significant",4.84833685028738,"significant"
"2883","Los Angeles County",2015,"heating_elec_per",25.7480304584426,0.146709584537606,2.86777167207786,9.08043745613013,"significant",10.8192446285806,"significant"
"2884","Los Angeles County",2016,"heating_elec_per",25.858777608327,0.157833505777099,3.31022541804597,8.23445456850283,"significant",9.81126501779061,"significant"
"2885","Los Angeles County",2017,"heating_elec_per",25.9774678183223,0.141232340898496,3.7844130434339,8.63578505445623,"significant",10.2894460223308,"significant"
"2886","Los Angeles County",2018,"heating_elec_per",25.8928244652551,0.163152064249453,3.44624841639841,6.5197209895902,"significant",7.7681782003628,"significant"
"2887","Los Angeles County",2013,"heating_utilitygas_per",67.7138283602904,0.156008629995937,0,NA,NA,NA,NA
"2888","Los Angeles County",2014,"heating_utilitygas_per",67.2490146931693,0.146097357950706,-0.686438321944975,-7.99929779219243,"nonsignificant",-9.5310782204846,"nonsignificant"
"2889","Los Angeles County",2015,"heating_utilitygas_per",66.6026982573767,0.159551517942246,-1.64092051774358,-12.951089273208,"nonsignificant",-15.4310850914818,"nonsignificant"
"2890","Los Angeles County",2016,"heating_utilitygas_per",66.2221402899893,0.163478358072707,-2.20292975072115,-14.0188195933985,"nonsignificant",-16.7032744091556,"nonsignificant"
"2891","Los Angeles County",2017,"heating_utilitygas_per",65.9607707943498,0.137195128705579,-2.5889210644138,-15.5192364878338,"nonsignificant",-18.4910051769935,"nonsignificant"
